question,answer,area
移転・職業選択の自由を持たない中世ヨーロッパの農民を何というか。,農奴,ヨーロッパ
農民が領主に納める生産物地代を何というか。,貢納,ヨーロッパ
女性や弱者の保護や戦場での勇武など，騎士の理想とされた道徳を何というか。,騎士道精神,ヨーロッパ
領主が自らの領土内の農民に対して行使する裁判権を何というか。,領主裁判権,ヨーロッパ
875年に成立し，イラン東部から中央アジアにかけて支配した，イラン系イスラーム王朝を何というか。,サーマーン朝,西アジア・北アフリカ
東西トルキスタンを征服してイスラーム化を促進した，中央アジア初のトルコ系イスラーム王朝を何というか。,カラハン朝,西アジア・北アフリカ
10世紀～12世紀頃アフガニスタンを中心に支配し，インドのイスラーム化の端緒となったトルコ系の王朝を何というか。,ガズナ朝,西アジア・北アフリカ
1186年ガズナ朝を滅ぼし，繰り返しインドへ軍事侵攻を行い，北インド支配の基礎を築いた王朝を何というか。,ゴール朝,西アジア・北アフリカ
1206～1526年，インドのデリーを拠点として興亡した，イスラーム諸王朝を総称して何というか。,デリースルタン朝,西アジア・北アフリカ
インド最初のイスラーム政権である奴隷王朝を創始したのは誰か。,アイバク,西アジア・北アフリカ
1290年奴隷王朝を倒して成立し，経済改革や南インド侵攻を行ったトルコ系王朝を何というか。,ハルジー朝,西アジア・北アフリカ
1320年ハルジー朝を倒して成立したトルコ系王朝を何というか。,トゥグルク朝,西アジア・北アフリカ
1414年トゥグルク朝を倒して成立したトルコ系王朝を何というか。,サイイド朝,西アジア・北アフリカ
1451年サイイド朝を倒して成立したアフガン系王朝を何というか。,ロディー朝,西アジア・北アフリカ
ヒンドゥー教などのインド的な要素とイスラーム教の要素を融合した文化を何というか。,インドイスラーム文化,西アジア・北アフリカ
13世紀末，元軍の侵攻を排除する中でジャワ島に成立したヒンドゥー王朝を何というか。,マジャパヒト王国,西アジア・北アフリカ
14世紀末頃～16世紀前半，マレー半島からスマトラ島東岸を支配し，海上交易で繁栄した東南アジアのイスラーム国家を何というか。,マラッカ王国,西アジア・北アフリカ
紀元前後頃にエチオピアに成立して金や奴隷・象牙の交易で栄え，キリスト教が広まった国を何というか。,アクスム王国,西アジア・北アフリカ
アフリカ東岸地域から季節風を利用してインド洋を横断する交易で主に利用されている船を何というか。,ダウ船,西アジア・北アフリカ
アフリカ東岸地域で共通語として用いられたのは何か。,スワヒリ語,西アジア・北アフリカ
サハラ砂漠の縦断交易で繁栄したが，1076年ムラービト朝の侵攻で衰退し，1150年に滅亡した西アフリカの黒人王国を何というか。,ガーナ王国,西アジア・北アフリカ
1240～1473年，北アフリカとの交易で繁栄し，マンサ＝ムーサ王の治世には最盛期を現出したイスラーム王国を何というか。,マリ王国,西アジア・北アフリカ
マリ王国を滅ぼし，西アフリカの隊商都市の大部分を支配して内陸交易で繁栄した，黒人イスラーム王国を何というか。,ソンガイ王国,西アジア・北アフリカ
マリ王国・ソンガイ王国の中心都市で，内陸アフリカにおける隊商交易やイスラーム学問の中心となったのはどこか。,トンブクトゥ,西アジア・北アフリカ
トルコ人などを中心とする奴隷軍人を何というか。,マムルーク,西アジア・アフリカ
1038年トゥグリル＝ベクが創始した，トルコ系スンナ派王朝を何というか。,セルジューク朝,西アジア・アフリカ
イスラーム世界において，政治的実権をもつ世俗君主を何というか。,スルタン,西アジア・アフリカ
セルジューク朝で宰相を務めたイラン人で，各地にニザーミーヤ学院を創設した人物は誰か。,ニザーム＝アルムルク,西アジア・アフリカ
イスラーム世界において，法学や行政を担うウラマーを育てるための学院を何というか。,マドラサ,西アジア・アフリカ
形式的な信仰を脱して内面的な救いを重視し，神との合一を目指すイスラームの考えを何というか。,神秘主義/スーフィズム,西アジア・アフリカ
イラン系のイスラーム神学者でニザーミーヤ学院の教授となり，上記６の考えをスンナ派に導入したのは誰か。,ガザーリー,西アジア・アフリカ
ブワイフ朝やセルジューク朝で行われた，軍人や官僚に徴税権や土地の管理権を与える土地制度を何というか。,イクター制,西アジア・アフリカ
クルド人出身の武将で，十字軍からイェルサレムを回復し，第３回十字軍とも戦ったのは誰か。,サラーフ＝アッディーン/サラディン,西アジア・アフリカ
サラディンがエジプトを中心に建てた王朝を何というか。,アイユーブ朝,西アジア・アフリカ
1250年，奴隷軍人がエジプトに創始した王朝を何というか。,マムルーク朝,西アジア・アフリカ
モンゴル軍を率いて西アジアに侵攻し，1258年アッバース朝を滅ぼしたのは誰か。,フレグ/フラグ,西アジア・アフリカ
フレグがイランを中心に建てた国を何というか。,イル＝ハン国/フレグ＝ウルス,西アジア・アフリカ
イル＝ハン国の第７代ハンで，即位後イスラーム教に改宗し国教としたのは誰か。,ガザン＝ハン,西アジア・アフリカ
チュニス出身の歴史家で，『世界史序説』を著したのは誰か。,イブン＝ハルドゥーン,西アジア・アフリカ
11世紀にモロッコに成立し，ガーナ王国やイベリア半島に侵攻したベルベル人の王国を何というか。,ムラービト朝,西アジア・アフリカ
12世紀に成立して上記16を滅ぼし，イベリア半島にも勢力を伸ばしたベルベル人の王朝を何というか。,ムワッヒド朝,西アジア・アフリカ
アリストテレス哲学の注釈の他，医学や天文学にも精通したコルドバ出身の哲学者は誰か。,イブン＝ルシュド,西アジア・アフリカ
ヨーロッパのアリストテレス研究にも影響を与えた上記18は，ラテン名で何と呼ばれたか。,アヴェロエス,西アジア・アフリカ
14世紀頃，アジア・アフリカ・東ヨーロッパを旅したモロッコ出身の大旅行家は誰か。,イブン＝バットゥータ,西アジア・アフリカ
11世紀後半教会改革運動を推進し，聖職叙任権をめぐり神聖ローマ皇帝とも争った教皇は誰か。,グレゴリウス７世,ヨーロッパ
12世紀末～13世紀イギリス王やフランス王を屈服させ，教皇権の絶頂期を現出したのは誰か。,インノケンティウス３世,ヨーロッパ
耕地を春耕地・秋耕地・休耕地の三つに分け，３年で一巡させる耕作方法を何というか。,三圃制,ヨーロッパ
生産力増大の要因となり，深く耕作することが可能な車輪のついた犂を何というか。,重量有輪犂,ヨーロッパ
聖地奪回を目指し，1095年十字軍を提唱したローマ教皇は誰か。,ウルバヌス２世,ヨーロッパ
十字軍派遣が決定された会議を何というか。,クレルモン宗教会議,ヨーロッパ
第１回十字軍で聖地回復に成功した後，1099年占領地に建てられた十字軍国家を何というか。,イェルサレム王国,ヨーロッパ
アイユーブ朝の建国者で，十字軍から聖地を奪回し第３回十字軍とも戦ったのは誰か。,サラーフ＝アッディーン/サラディン,ヨーロッパ
インノケンティウス３世の提唱でおこされた第４回十字軍を，商業利権拡大のために利用した都市はどこか。,ヴェネツィア,ヨーロッパ
第４回十字軍が，コンスタンティノープルを占領して建てた国を何というか。,ラテン帝国,ヨーロッパ
1190年に設立され，主にバルト海南岸方面を中心に東方植民などで活躍した宗教騎士団を何というか。,ドイツ騎士団,ヨーロッパ
十字軍の影響による交通の発達で，盛んに行われた遠距離間の貿易を何というか。,遠隔地貿易,ヨーロッパ
北イタリア諸都市と地中海東岸地域のイスラーム諸都市との間で行われた貿易を何というか。,東方貿易/レヴァント貿易,ヨーロッパ
北イタリアのトスカナ地方にあり，毛織物工業と金融業が発達した都市はどこか。,フィレンツェ,ヨーロッパ
フィレンツェの大商人で，一族から教皇や王族を輩出した家は何か。,メディチ家,ヨーロッパ
ブリュージュを中心として毛織物工業が発達した，ネーデルラント南西部の地方を何というか。,フランドル地方,ヨーロッパ
自由競争を禁じ生産や価格を統制した，商人や手工業者の組合を何というか。,商人ギルド,ヨーロッパ
商人ギルドのうち，商人に対抗して形成された手工業者の組合を何というか。,同職ギルド/ツンフト,ヨーロッパ
同職ギルドのうち，職人や徒弟を監督した正規の構成員を何というか。,親方,ヨーロッパ
南ドイツのアウクスブルクを中心に栄えた金融業者を何というか。,フッガー家,ヨーロッパ
司教や修道院長などの聖職を売買することを何というか。,聖職売買,ヨーロッパ
910年にフランス東部に創設され，11世紀以降教会改革運動の中心となったベネディクト派修道院を何というか。,クリュニー修道院,ヨーロッパ
聖職叙任権をめぐる教皇と神聖ローマ皇帝の争いを何というか。,叙任権闘争,ヨーロッパ
教皇グレゴリウス７世と叙任権を争った神聖ローマ皇帝は誰か。,ハインリヒ４世,ヨーロッパ
ハインリヒ４世がグレゴリウス７世に破門されたため，1077年雪中で許しを請い破門を解かれた事件を何というか。,カノッサの屈辱,ヨーロッパ
高位聖職者の叙任権をめぐる争いで一応の決着をみた，1122年の妥協的協約を何というか。,ヴォルムス協約,ヨーロッパ
国王や領主が都市に対して，自治権・貨幣鋳造権などの権力委譲を認める文書を何というか。,特許状,ヨーロッパ
神聖ローマ皇帝から自治権を認められた都市を何というか。,自由都市/帝国都市,ヨーロッパ
13世紀後半以降，主に商業利権保護を目的として北海・バルト海沿岸の諸都市が結成した都市同盟を何というか。,ハンザ同盟,
神聖ローマ皇帝のイタリア進出に対抗して，ミラノなどを中心として形成された都市同盟を何というか。,ロンバルディア同盟,
ビザンツ帝国の都で，東地中海世界の政治・経済・文化の中心として繁栄したのはどこか。,コンスタンティノープル,ヨーロッパ
６世紀頃，旧ローマ帝国領の大部分を回復してビザンツ帝国の最盛期を現出したのは誰か。,ユスティニアヌス大帝,ヨーロッパ
北アフリカを支配し，534年上記２に滅ぼされたゲルマン人国家を何というか。,ヴァンダル王国,ヨーロッパ
イタリア半島を支配し，555年上記２に滅ぼされたゲルマン人国家を何というか。,東ゴート王国,ヨーロッパ
ユスティニアヌス大帝の命で，法学者トリボニアヌスらが編纂した法典は何か。,ローマ法大全,ヨーロッパ
７世紀以降異民族の侵入に対し，帝国の領土を分けて軍事・行政権を与えた司令官を任命する統治制度を何というか。,テマ制,ヨーロッパ
偶像崇拝を禁止するイスラーム教徒に対抗して，726年聖像禁止令を発布したビザンツ皇帝は誰か。,レオン３世,ヨーロッパ
1054年東西教会の分裂により成立した東方教会を何というか。,ギリシア正教会,ヨーロッパ
1453年ビザンツ帝国を滅ぼした国を何というか。,オスマン帝国,ヨーロッパ
７世紀以降エジプト・シリア喪失などの領土縮小により，ビザンツ帝国で公用語化した言語は何か。,ギリシア語,ヨーロッパ
10世紀末頃アジア系のマジャール人が，ドナウ川中流域のパンノニア平原を中心に建てた国を何というか。,ハンガリー王国,ヨーロッパ
リトアニアとポーランドが合併して成立したポーランド最盛期の王朝を何というか。,ヤゲウォ朝,ヨーロッパ
９世紀にカトリックを受容し，ベーメン王国を統一した民族を何というか。,チェック人,ヨーロッパ
南スラヴ系最大の勢力でビザンツ帝国に属して東方教会を受容し，11世紀にはバルカン半島北部を支配した民族を何というか。,セルビア人,ヨーロッパ
７世紀頃黒海北岸からバルカン半島に入り，スラヴ人を征服してブルガリア王国を建てたアジア系の遊牧民は何か。,ブルガール人,ヨーロッパ
ノヴゴロド国の一部がドニエプル川中流に建て，モンゴルの西征で滅亡した国を何というか。,キエフ公国,ヨーロッパ
10世紀末の上記16最盛期の大公で，ギリシア正教に改宗しビザンツ皇帝の妹と結婚するなど，ロシアのビザンツ化を進めたのは誰か。,ウラディミル１世,ヨーロッパ
14世紀以降，キプチャク＝ハン国から自立化を進めた国はどこか。,モスクワ大公国,ヨーロッパ
モスクワ大公国の大公のうち，キプチャク＝ハン国から完全に自立を達成したのは誰か。,イヴァン３世,ヨーロッパ
イヴァン３世が使用した皇帝を意味する称号を何というか。,ツァーリ,ヨーロッパ
兵士や小農民に土地を与え世襲の兵役義務を課す，ビザンツ帝国の兵制を何というか。,屯田兵制,ヨーロッパ
ポーランド人やスロヴァキア人など，ローマ＝カトリックを受容し，西方のラテン文化圏に入った民族を何というか。,西スラヴ人,ヨーロッパ
14世紀，ドイツ騎士団に対抗するため形成された，リトアニアとポーランドの同君連合国家を何というか。,リトアニア＝ポーランド王国,ヨーロッパ
９世紀，ルーシの首長リューリクが建てた国を何というか。,ノヴゴロド国,ヨーロッパ
聖職者課税問題でフランス国王フィリップ４世と争い，1303年アナーニに捕囚された(アナーニ事件)教皇は誰か。,ボニファティウス８世,ヨーロッパ
1309年，フィリップ４世によって教皇庁がアヴィニョンに移転させられ，それ以降フランスの影響下に置かれたことを何というか。,教皇のバビロン捕囚,ヨーロッパ
1378年以降，アヴィニョンとローマに教皇が分立した状態を何というか。,教会大分裂/大シスマ,ヨーロッパ
14世紀のイギリスで聖書主義を主張して教会制度を批判し，聖書の英訳を行った人物は誰か。,ウィクリフ,ヨーロッパ
1414～1418年に開かれ，上記３を終わらせた公会議を何というか。,コンスタンツ公会議,ヨーロッパ
ベーメンの宗教改革者で教会批判を展開したが，コンスタンツ公会議で異端とされ火刑に処されたのは誰か。,フス,ヨーロッパ
14世紀半ばに西欧で流行し，人口を激減させた疫病を何というか。,黒死病/ペスト,ヨーロッパ
1358年，北フランスで起こった農民一揆を何というか。,ジャックリーの乱,ヨーロッパ
1381年，農奴制の廃止などを要求して起こったイギリスの農民一揆を何というか。,ワット＝タイラーの乱,ヨーロッパ
1154年，ノルマン朝の断絶により，アンジュー伯アンリがイギリス王ヘンリ２世として即位し成立した王朝を何というか。,プランタジネット朝,ヨーロッパ
ヘンリ２世の子で，フランスに敗れて大陸の領土の大半を失い，また教皇インノケンティウス３世に破門されたイギリス王は誰か。,ジョン王,ヨーロッパ
1215年，ジョン王による度重なる軍役や課税に反抗した貴族が，結束して王に認めさせた勅許状を何というか。,大憲章/マグナ＝カルタ,ヨーロッパ
ヘンリ３世がマグナ＝カルタを無視し専制を強化したことに対し，貴族を率いて反乱を起こしたのは誰か。,シモン＝ド＝モンフォール,ヨーロッパ
1295年にエドワード１世が招集した身分制議会を何というか。,模範議会,ヨーロッパ
1302年にフィリップ４世が招集した，聖職者・貴族・平民の代表で構成された身分制議会を何というか。,全国三部会,ヨーロッパ
1328年，カペー朝の断絶後フランスに成立した王朝を何というか。,ヴァロワ朝,ヨーロッパ
イギリス国王エドワード３世が，カペー朝断絶後王位継承権を主張したことから起こった，イギリスとフランスの戦争を何というか。,百年戦争,ヨーロッパ
上記17において，神のお告げを受けたとして劣勢のフランス軍を率い，イギリス軍を撃退した農民の娘は誰か。,ジャンヌ＝ダルク,ヨーロッパ
1455年からイギリスで起こった，ランカスター家とヨーク家の王位継承をめぐる内乱を何というか。,バラ戦争,ヨーロッパ
1485年，上記19をおさめたランカスター一派のヘンリ７世が即位して開いた王朝を何というか。,テューダー朝,ヨーロッパ
フスの処刑後ベーメンで起こった，フス派の反抗と民族運動が結びついた教皇・皇帝に対する反乱を何というか。,フス戦争,ヨーロッパ
中世末期，都市や商業の発展などに伴い，地代の形態は賦役から生産物地代や何に変化したか。,貨幣地代,ヨーロッパ
14世紀以降のイギリスにおいて，農奴解放によって自由な身分となり土地を保有するようになった農民を何というか。,独立自営農民/ヨーマン,ヨーロッパ
ワット＝タイラーの乱に参加した聖職者で，「アダムが耕しイヴが紡いだとき，だれが貴族であったか」と唱えた人物は誰か。,ジョン＝ボール,ヨーロッパ
12～13世紀に南フランスで広まった異端で，国王の派遣した十字軍により討伐された一派を何というか。,アルビジョワ派,ヨーロッパ
歴代の神聖ローマ皇帝が力を注いだ，イタリアへの干渉政策を何というか。,イタリア政策,ヨーロッパ
中世末期から近代初期のドイツにおいて約300存在し，独立した小国家を形成した諸侯領を何というか。,領邦,ヨーロッパ
東方植民によって12世紀に成立し，15世紀にはホーエンツォレルン家領となった諸侯国を何というか。,ブランデンブルク辺境伯領,ヨーロッパ
シュタウフェン朝断絶後の1256～73年，実質的に神聖ローマ皇帝が不在であった時期を何というか。,大空位時代,ヨーロッパ
皇帝選出権を聖俗７人の諸侯(七選帝侯)に認めた勅書を何というか。,金印勅書,ヨーロッパ
1356年に金印勅書を発布した皇帝は誰か。,カール４世,ヨーロッパ
15世紀半ば以降神聖ローマ皇帝位を世襲したオーストリアの王家を何というか。,ハプスブルク家,ヨーロッパ
ハプスブルク家の支配に対して13世紀末に独立闘争を開始し，15世紀末には事実上独立を達成した地域はどこか。,スイス,ヨーロッパ
13世紀後半，両シチリア王国は分裂し二つの王国が成立したが，それはシチリア王国とどこか。,ナポリ王国,ヨーロッパ
イタリアでの神聖ローマ皇帝とローマ教皇の抗争において，教皇支持派を何というか。,教皇党/ゲルフ,ヨーロッパ
教皇党に対し，皇帝支持派を何というか。,皇帝党/ギベリン,ヨーロッパ
８世紀以降のイベリア半島において，キリスト教徒がイスラーム教徒を駆逐し領土を奪回しようとした運動を何というか。,国土回復運動/レコンキスタ,ヨーロッパ
1479年，アラゴンとカスティリャが統合されて成立した王国を何というか。,スペイン王国,ヨーロッパ
アラゴンの王子で，カスティリャとの合併後はスペイン王国の王となった人物は誰か。,フェルナンド,ヨーロッパ
1469年にフェルナンドと結婚したカスティリャの王女は誰か。,イサベル,ヨーロッパ
イベリア半島における最後のイスラーム王朝を何というか。,ナスル朝,ヨーロッパ
1492年に陥落した，グラナダの都はどこか。,グラナダ,ヨーロッパ
12世紀にカスティリャから独立し，15世紀には積極的に海外に進出するようになった王国はどこか。,ポルトガル,ヨーロッパ
14世紀末にデンマーク・スウェーデン・ノルウェーなど，北欧の３国が同君連合を形成することとなった同盟を何というか。,カルマル同盟,ヨーロッパ
カルマル同盟を主導した，デンマーク摂政は誰か。,マルグレーテ,ヨーロッパ
中世ヨーロッパにおいて，聖職者や修道士などの学識者が使用した共通の学術語は何か。,ラテン語,ヨーロッパ
教会の附属学校や学生の相互扶助団体から発展したもので，自治権を持ち一種のギルドを形成した教育機関を何というか。,大学,ヨーロッパ
大学のうち，南イタリアに創設され医学で有名なのはどこか。,サレルノ大学,ヨーロッパ
大学のうち最古のもので，11世紀末に北イタリアに創設され法学で名高いのはどこか。,ボローニャ大学,ヨーロッパ
大学のうち，12世紀半ばにフランスで成立し神学で名高いのはどこか。,パリ大学,ヨーロッパ
大学のうち，12世紀後半に成立しイギリスにおける神学の中心となったのはどこか。,オクスフォード大学,ヨーロッパ
キリスト教の教義にギリシア哲学が結びつけられて，理論的に体系化された神学・哲学を何というか。,スコラ学,ヨーロッパ
上記７における実在論と唯名論の間の論争を何というか。,普遍論争,ヨーロッパ
８世紀～９世紀，カール大帝が宮廷に多数の学者を招いたことから起こった，文芸復興運動を何というか。,カロリング＝ルネサンス,ヨーロッパ
イギリスの神学者で，カール大帝に招かれカロリング＝ルネサンスの運動の中心となった人物は誰か。,アルクイン,ヨーロッパ
13世紀イギリスの科学者・哲学者で，実験や観察を重視し近代自然科学に大きな影響を与えた人物は誰か。,ロジャー＝ベーコン,ヨーロッパ
イスラーム世界やビザンツからのギリシア古典の流入などを背景に，12世紀にヨーロッパの文化が大きく発展したことを何というか。,12世紀ルネサンス,ヨーロッパ
中世騎士の武勲や恋愛を主題とした文学を何というか。,騎士道文学,ヨーロッパ
騎士道文学のうち，カール大帝のイスラーム討伐遠征を題材とし，騎士の武勇をうたった物語を何というか。,ローランの歌,ヨーロッパ
騎士道文学のうち，ケルト人の伝説的英雄を題材にした物語を何というか。,アーサー王物語,ヨーロッパ
ゲルマン人の英雄を題材とした叙事詩を何というか。,ニーベルンゲンの歌,ヨーロッパ
各地の宮廷を巡り歩き，騎士的恋愛を歌った詩人を何というか。,吟遊詩人,ヨーロッパ
11～12世紀に成立し，重厚な壁と小さな窓，半円状のアーチを特徴とする建築様式を何というか。,ロマネスク様式,ヨーロッパ
12～13世紀に普及した，高い天井や尖頭アーチを特徴とする建築様式を何というか。,ゴシック様式,ヨーロッパ
ゴシック様式の建築物の窓に多く用いられた彩色ガラスを何というか。,ステンドグラス,ヨーロッパ
イギリスのカンタベリ大司教で，実在論を唱え「スコラ学の父」とされた人物は誰か。,アンセルムス,ヨーロッパ
フランスのスコラ学者で，唯名論を主張した人物は誰か。,アベラール,ヨーロッパ
イギリスのスコラ学者で，唯名論を唱え信仰と理性の区別を主張した人物は誰か。,ウィリアム＝オブ＝オッカム,ヨーロッパ
イタリアのスコラ学者で，アリストテレス哲学の影響を受けスコラ学を大成した人物は誰か。,トマス＝アクィナス,ヨーロッパ
信仰と理性の調和を主張した上記④の主著を何というか。,神学大全,ヨーロッパ
918年，新羅末の動乱の中，王建によって建てられた朝鮮半島の国を何というか。,高麗,東アジア
937年，南詔滅亡後の雲南地方に建国された国を何というか。,大理,東アジア
1009年に成立したベトナム北部初の長期政権で，中国の諸制度を取り入れ，国号を大越とした王朝を何というか。,李朝,東アジア
平安時代の日本において，中国との交流が途絶えたことで発達した，日本独自の貴族文化を何というか。,国風文化,東アジア
916年モンゴル系の遊牧民キタイ（契丹）の耶律阿保機によって建てられた国は中国風に何というか。,遼,東アジア
936年後晋の時代に，支援を受けた代償としてキタイに割譲した地域を何というか。,燕雲十六州,東アジア
1004年，キタイが宋と結んだ講和条約を何というか。,澶淵の盟,東アジア
キタイで行われた，狩猟民・遊牧民と農耕民とを分けて統治する政策を何というか。,二重統治体制,東アジア
1038年，李元昊によって建てられた，チベット系タングートの国を何というか。,西夏,東アジア
1115年，完顔阿骨打によって建てられた，ツングース系女真の国を何というか。,金,東アジア
金の時代，女真人などに適用された部族制に基づく軍事・社会制度を何というか。,猛安・謀克,東アジア
960年地方政権を平定し，開封を都として宋を建国した後周の武将は誰か。,趙匡胤,東アジア
第２代皇帝太宗の治世に確立され，官僚を中心とした政治を目指す政策を何というか。,文治主義,東アジア
宋代に設けられた，皇帝が立ち会う科挙の最終試験を何というか。,殿試,東アジア
宋代以降，儒学の教養をもつ知識人層や新興地主などの人々を何というか。,士大夫,東アジア
唐宋八大家の一人で，神宗により宰相に登用され，改革を断行したのは誰か。,王安石,東アジア
王安石が富国強兵のために断行した諸改革を何というか。,新法,東アジア
司馬光を中心に，新法に反対する保守派勢力を何というか。,旧法党,東アジア
1126～27年北方民族が都を占領し，皇帝の一族などを連れ去り，北宋が滅亡した事件を何というか。,靖康の変,東アジア
靖康の変で逃れた高宗が，臨安を都として江南に建てた王朝を何というか。,南宋,東アジア
ウイグル文字や漢字を基に作られたキタイの文字は何か。,契丹文字,東アジア
キタイの遺臣耶律大石が，中央アジアに建てた国を何というか。,カラキタイ/西遼,東アジア
宋代に台頭した，官僚を多く輩出した新興の地主層を何というか。,形勢戸,東アジア
宋代に地主などの荘園を耕作した小作農家を何というか。,佃戸,東アジア
北宋時代に長江下流域に普及した，日照りに強いベトナム伝来の稲を何というか。,占城稲,東アジア
草市から発展し，商工業の発展により興った地方都市を何というか。,鎮,東アジア
北宋時代以降使用された，世界最初の紙幣を何というか。,交子,東アジア
商工業の発達により，宋代に大量に鋳造された貨幣を何というか。,銅銭/宋銭,東アジア
南宋の儒学者で，朱子学を大成したのは誰か。,朱熹/朱子,東アジア
朱熹による，君臣の道徳や臣下の守るべき本分を説いた論を何というか。,大義名分論,東アジア
宋代に神宗の命で司馬光が編纂した，戦国時代から五代末までを著した通史は何か。,資治通鑑,東アジア
『資治通鑑』に代表される歴史記述方法を何というか。,編年体,東アジア
唐宋八大家の一人で唐末以来の古文復興を継承し，『新唐書』などを著したのは誰か。,欧陽脩,東アジア
唐宋八大家の一人で北宋第一の詩人といわれ，「赤壁の賦」を残したのは誰か。,蘇軾,東アジア
宋代に流行した韻文で，曲にあわせて歌う文芸を何というか。,詞,東アジア
宋代に流行した，歌や台詞を伴う演劇を何というか。,雑劇,東アジア
山水・花鳥・人物などを題材として，宮廷趣味に合うように描かれた，写実的で装飾的な絵画を何というか。,院体画,東アジア
知識人の間に広まった，座禅による実践を特徴とする仏教の宗派を何というか。,禅宗,東アジア
金支配下の華北において，王重陽を開祖とし，儒教・仏教・道教の調和を説く道教の一派を何というか。,全真教,東アジア
火器使用のため，宋代以降改良・実用化されたものは何か。,火薬,東アジア
磁石の指極性を利用し，航海に用いられたものは何か。,羅針盤,東アジア
唐初頃に始まり宋代に普及した印刷技術は何か。,木版印刷,東アジア
宋代において，同業営業の独占や相互扶助のための商人組合を何というか。,行,東アジア
宋代において，相互扶助のための手工業者の組合を何というか。,作,東アジア
北宋の儒学者で，宋学の祖といわれ，『太極図説』を著したのは誰か。,周敦頤,東アジア
南宋の哲学者で，禅宗の影響を受けて「心即理」の唯心論を展開したのは誰か。,陸九淵,東アジア
宮廷において，絵画の制作や保護を司る機関を何というか。,画院,東アジア
宋代に民衆の間で普及した，東晋の慧遠を開祖とし浄土信仰を説く仏教の宗派を何というか。,浄土宗,東アジア
貴族趣味な華麗さを離れる傾向の中，宋代に発達した，青や緑色など単色で簡素な造形の磁器を何というか。,青磁,東アジア
重要事項の決定やカン（ハン）を選定する集会を何というか。,クリルタイ,東アジア
1206年にクリルタイでカンに選出されて大モンゴル国を建て，周辺地域への遠征を行ったのは誰か。,チンギス＝カン/ハン,東アジア
アフガニスタンからイランにかけて支配し，1220年モンゴル軍に攻撃され滅亡したトルコ系イスラーム王朝を何というか。,ホラズム＝シャー朝,東アジア
大モンゴル国の第２代でカアンを称し，1234年に自ら遠征して金を滅ぼしたのは誰か。,オゴデイ/オゴタイ,東アジア
1236～42年南ロシア・東ヨーロッパに西征を行ったのは誰か。,バトゥ,東アジア
西征の途中，1241年モンゴルがドイツ・ポーランド諸侯連合軍を破った戦いを何というか。,ワールシュタットの戦い,東アジア
モンゴルの第４代モンケの命で西アジアに遠征し，1258年アッバース朝を滅ぼしたのは誰か。,フレグ/フラグ,東アジア
モンゴルの第５代で，カアンを称した後，1276（1279）年南宋を征服し中国支配を確立したのは誰か。,クビライ/フビライ,東アジア
クビライが1264年に遷都したのはどこか。,大都,東アジア
クビライが定めた中国風の国号を何というか。,元,東アジア
西アジアや中央アジア出身の諸民族を指し，モンゴルに高級官僚として仕えた人々を何というか。,色目人,東アジア
モンゴルで創設・整備された交通制度を何というか。,駅伝制/ジャムチ,東アジア
金・モンゴルの時代に流通した紙幣を何というか。,交鈔,東アジア
1351年におこった，白蓮教徒などを中心とする大農民反乱を何というか。,紅巾の乱,東アジア
クビライの命により，チベット文字をもとに作成された文字を何というか。,パクパ文字,東アジア
チベットで成立しモンゴルで保護された仏教を何というか。,チベット仏教,東アジア
1280年郭守敬が作成し，日本の貞享暦などにも影響を与えた陰陽暦を何というか。,授時暦,東アジア
『西廂記』や『琵琶記』など口語の歌詞や台詞を伴う演劇を何というか。,元曲,東アジア
1370年成立してサマルカンドを都とし，その後イル＝ハン国滅亡後の西アジアに勢力を拡大した王朝を何というか。,ティムール朝,東アジア
ティムール朝が，1402年オスマン帝国軍を撃破しスルタンのバヤジット１世を捕虜とした戦いを何というか。,アンカラの戦い,東アジア
モンゴルの偵察と布教のため教皇により派遣され，カラコルムに到着しハンと会見したのは誰か。,プラノ＝カルピニ,東アジア
十字軍への支援要請のためフランス王ルイ９世により派遣され，カラコルムに到着してモンケ＝ハンと会見したのは誰か。,ルブルック,東アジア
ヴェネツィア出身で，1275年大都に到着してクビライに仕え，帰国後『世界の記述（東方見聞録）』を口述したのは誰か。,マルコ＝ポーロ,東アジア
教皇の使節として1294年大都に到着し，中国で最初にカトリックの布教活動を行ったのは誰か。,モンテ＝コルヴィノ,東アジア
モロッコ出身の旅行家で世界各地を旅し，『旅行記』（『三大陸周遊記』）を口述したのは誰か。,イブン＝バットゥータ,東アジア
1351～66年，白蓮教徒を中心とした元末の農民反乱を何というか。,紅巾の乱,東アジア
明朝初代皇帝で，紅巾の乱の混乱の中から台頭し，1368年に即位したのは誰か。,朱元璋/太祖，洪武帝,東アジア
明の最初の都となったのはどこか。,南京/金陵,東アジア
大都を明に奪われ，モンゴル高原に退いた後の元は，後に何と呼ばれるか。,北元,東アジア
北元はある機関を廃止して，その直轄下にあった六部を皇帝直属のものとしたが，ある機関とは何か。,中書省,東アジア
北元の設置した兵制で，唐の府兵制を模し，兵農一致を図った制度を何というか。,衛所制,東アジア
農村の110戸を一里として，里長戸や甲首戸に徴税や治安維持の義務を負わせた制度を何というか。,里甲制,東アジア
民衆教化のために制定した，六カ条からなる教訓を何というか。,六諭,東アジア
建文帝の諸王抑圧策に対し，1399～1402年に燕王（のちの永楽帝）が起こした反乱を何というか。,靖難の役,東アジア
